Baseline 100%T,,Baseline 0%T,,blanco,,blanco1,,t1_casca,,t1_topo,,t1_meio,,t1_base,,s1_0_20,,s1_20_40,,s1_40_60,,t4_casca,,t4_topo,,t4_meio,,t4_base,,s4_0_20,,s4_10_40,,s4_40_60,
Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R,Wavelength (nm),%R
2500,68.82832336,2500,2.007118702,2500,101.624588,2500,101.1714706,2500,50.28933716,2500,52.05878448,2500,49.17169952,2500,51.14495087,2500,55.57972717,2500,46.47192383,2500,42.04759216,2500,47.33185577,2500,43.22349548,2500,43.86791992,2500,46.54326248,2500,44.55909348,2500,41.81375504,2500,43.46121597
2499.5,71.01438904,2499.5,0.363832355,2499.5,98.03330994,2499.5,98.25969696,2499.5,51.62107468,2499.5,51.86607742,2499.5,49.52563477,2499.5,49.40620422,2499.5,52.17375183,2499.5,46.73245239,2499.5,42.00298691,2499.5,45.83208084,2499.5,43.19800186,2499.5,44.2636528,2499.5,44.05731583,2499.5,44.76721191,2499.5,42.9295578,2499.5,44.88560104
2499,70.23408508,2499,-0.96241653,2499,98.77920532,2499,98.35668182,2499,52.97137451,2499,52.86012268,2499,50.91608047,2499,53.85293198,2499,53.34747314,2499,49.26148224,2499,43.68566895,2499,48.71608734,2499,45.51235962,2499,45.03846741,2499,47.17385101,2499,45.91273499,2499,43.51153183,2499,46.95830154
2498.5,70.16358948,2498.5,0.006785505,2498.5,100.0586243,2498.5,101.0579834,2498.5,51.57205582,2498.5,50.73791885,2498.5,50.26367188,2498.5,50.35097504,2498.5,53.33456421,2498.5,47.76504135,2498.5,40.65124512,2498.5,46.51052856,2498.5,44.63750839,2498.5,43.51112366,2498.5,48.25777435,2498.5,44.04901886,2498.5,40.71228027,2498.5,45.62585449
2498,69.80936432,2498,-0.696591079,2498,98.46777344,2498,99.67620087,2498,52.25092316,2498,52.45155716,2498,49.60783768,2498,52.03982544,2498,55.1546936,2498,48.77092743,2498,42.22476959,2498,46.43024063,2498,46.03928375,2498,44.26789093,2498,47.19993591,2498,46.93487549,2498,45.45755386,2498,46.53493881
2497.5,69.91283417,2497.5,-1.23706162,2497.5,100.0104904,2497.5,101.8968353,2497.5,52.32901001,2497.5,52.5994072,2497.5,50.39805603,2497.5,51.02749634,2497.5,55.09310532,2497.5,49.14434433,2497.5,44.31835938,2497.5,47.75969315,2497.5,46.73112106,2497.5,45.75554276,2497.5,47.45243454,2497.5,46.64988708,2497.5,43.57201385,2497.5,46.84578705
2497,70.56283569,2497,0.276912004,2497,98.65769958,2497,99.17497253,2497,51.98461533,2497,51.98695755,2497,48.77397919,2497,53.29632568,2497,52.76559067,2497,48.69107437,2497,40.6536293,2497,45.22920609,2497,44.80233002,2497,45.29314804,2497,45.9899559,2497,42.98830795,2497,37.80433655,2497,45.58600616
2496.5,69.9096756,2496.5,-0.599291384,2496.5,99.70159912,2496.5,99.74984741,2496.5,53.93102264,2496.5,52.96744537,2496.5,51.12637711,2496.5,53.44438553,2496.5,55.06176758,2496.5,48.41222,2496.5,42.8657074,2496.5,50.68238831,2496.5,45.44375229,2496.5,44.41220856,2496.5,46.62879562,2496.5,45.98770523,2496.5,44.44872284,2496.5,45.84491348
2496,69.42597961,2496,-0.404166043,2496,100.5928421,2496,102.0552063,2496,50.72332001,2496,54.57914352,2496,50.05532074,2496,52.13538361,2496,53.71189117,2496,48.49705887,2496,42.75942612,2496,48.16735077,2496,44.56285477,2496,46.51743317,2496,48.32198715,2496,44.91782379,2496,45.3122139,2496,45.33176041
