Wavelength	a15
380	11.05818462
380.5	10.90030479
381	10.9689064
381.5	11.06827545
382	10.98689079
382.5	10.96912193
383	11.04812813
383.5	11.11024284
384	10.99215508
384.5	10.96695518
385	11.02461338
385.5	11.06468773
386	11.08437252
386.5	11.13580608
387	11.0371809
387.5	11.07869816
388	11.21351814
388.5	11.15064907
389	11.18864155
389.5	11.08808899
390	11.22776604
390.5	11.15820789
391	11.18068123
391.5	11.17426205
392	11.20812893
392.5	11.17761803
393	11.27604961
393.5	11.27066803
394	11.25980473
394.5	11.32408714
395	11.14458656
395.5	11.24911118
396	11.24799156
396.5	11.26364136
397	11.3167572
397.5	11.29849434
398	11.16932774
398.5	11.35289478
399	11.36353779
399.5	11.34046268
400	11.3497963
400.5	11.4323616
401	11.41332722
401.5	11.37647724
402	11.34603119
402.5	11.44873142
403	11.37790203
403.5	11.32276821
404	11.46074295
404.5	11.27100277
405	11.38558674
405.5	11.39157867
406	11.46694183
406.5	11.41449356
407	11.48753071
407.5	11.42812252
408	11.37282944
408.5	11.63706589
409	11.56993771
409.5	11.48003578
410	11.58451366
410.5	11.59534645
411	11.51666641
411.5	11.52818394
412	11.55150318
412.5	11.53301239
413	11.66833687
413.5	11.56435776
414	11.5656538
414.5	11.68776608
415	11.60273743
415.5	11.63063145
416	11.6964817
416.5	11.66375542
417	11.69027424
417.5	11.67078972
418	11.63848591
418.5	11.69755459
419	11.75278854
419.5	11.68663025
420	11.74014187
420.5	11.72248745
421	11.73286343
421.5	11.74924088
422	11.79893494
422.5	11.77589607
423	11.79922867
423.5	11.8536377
424	11.85897827
424.5	11.86357403
425	11.85370636
425.5	11.88901424
426	11.88189507
426.5	11.89375973
427	11.91246986
427.5	11.95873833
428	11.94077587
428.5	11.88951683
429	11.95582676
429.5	11.92673111
430	12.01864338
430.5	12.05925274
431	12.09329414
431.5	12.11839676
432	12.13164139
432.5	12.054739
433	12.09706783
433.5	12.15604591
434	12.1696558
434.5	12.15565586
435	12.15325832
435.5	12.15037918
436	12.17952919
436.5	12.19946861
437	12.24665737
437.5	12.29759026
438	12.28457451
438.5	12.26954269
439	12.26360798
439.5	12.33610153
440	12.36762524
440.5	12.30800915
441	12.38016415
441.5	12.39321136
442	12.41139507
442.5	12.440835
443	12.47148132
443.5	12.45801258
444	12.46033287
444.5	12.44816971
445	12.55962658
445.5	12.50585175
446	12.48925781
446.5	12.54390907
447	12.56580162
447.5	12.61741638
448	12.62862682
448.5	12.61611557
449	12.58808231
449.5	12.61733437
450	12.65691948
450.5	12.64911747
451	12.6333456
451.5	12.70559311
452	12.71485233
452.5	12.70836926
453	12.70347118
453.5	12.71741676
454	12.73045254
454.5	12.74054909
455	12.79368401
455.5	12.75575447
456	12.77409458
456.5	12.77160358
457	12.80353832
457.5	12.8099308
458	12.81145096
458.5	12.77796936
459	12.7843647
459.5	12.89913368
460	12.82006836
460.5	12.85785103
461	12.86629486
461.5	12.85154343
462	12.82905769
462.5	12.88863087
463	12.93155861
463.5	12.90082932
464	12.92389297
464.5	12.88381767
465	12.94866943
465.5	12.90448189
466	12.95276451
466.5	12.90844727
467	12.99665737
467.5	12.96662712
468	12.96230888
468.5	12.99901867
469	13.03573418
469.5	13.0215807
470	12.99141216
470.5	13.02555656
471	12.99788189
471.5	13.07078934
472	13.04872322
472.5	13.03197002
473	13.05256462
473.5	13.07412815
474	13.07742119
474.5	13.02054977
475	13.14278698
475.5	13.09522057
476	13.08828926
476.5	13.11448956
477	13.15555859
477.5	13.18558884
478	13.15833664
478.5	13.16969872
479	13.16394806
479.5	13.20313263
480	13.22867393
480.5	13.21965599
481	13.27249146
481.5	13.26780605
482	13.25812817
482.5	13.30377865
483	13.29047489
483.5	13.31884003
484	13.30254555
484.5	13.33209705
485	13.36186981
485.5	13.36210632
486	13.38168049
486.5	13.37963676
487	13.4081955
487.5	13.4509964
488	13.45547104
488.5	13.54821301
489	13.48849106
489.5	13.49260235
490	13.54484558
490.5	13.51420689
491	13.58655739
491.5	13.55691528
492	13.62115574
492.5	13.60678864
493	13.64958477
493.5	13.62640858
494	13.70312309
494.5	13.64657021
495	13.73215008
495.5	13.68905163
496	13.80055523
496.5	13.78813648
497	13.80399132
497.5	13.79689121
498	13.86834717
498.5	13.90067291
499	13.94769287
499.5	13.91359997
500	13.94602966
500.5	13.94884396
501	14.01405907
501.5	13.97054482
502	14.0050621
502.5	13.99135113
503	14.09121895
503.5	14.05504608
504	14.13440228
504.5	14.104249
505	14.14453506
505.5	14.17347336
506	14.20007324
506.5	14.182127
507	14.25150204
507.5	14.18965721
508	14.25855732
508.5	14.27113533
509	14.28565979
509.5	14.33521843
510	14.36471462
510.5	14.34956646
511	14.43267918
511.5	14.42278194
512	14.44369984
512.5	14.42157745
513	14.49680328
513.5	14.48022747
514	14.55567932
514.5	14.54205704
515	14.59288597
515.5	14.63138771
516	14.65426826
516.5	14.64746475
517	14.65809345
517.5	14.69013691
518	14.71065331
518.5	14.76456642
519	14.78770542
519.5	14.82937908
520	14.84204102
520.5	14.83996487
521	14.85754108
521.5	14.93089199
522	14.96791077
522.5	14.92508316
523	14.97731972
523.5	15.02223492
524	15.00454426
524.5	15.08271694
525	15.04412842
525.5	15.14847755
526	15.16420269
526.5	15.18020439
527	15.23340988
527.5	15.25952053
528	15.24222469
528.5	15.34998608
529	15.30923653
529.5	15.40852928
530	15.41420555
530.5	15.4131937
531	15.43002701
531.5	15.49582291
532	15.5214262
532.5	15.61995602
533	15.57623577
533.5	15.61366272
534	15.69156837
534.5	15.73240566
535	15.75802135
535.5	15.766469
536	15.85248375
536.5	15.89211082
537	15.9480648
537.5	15.95906162
538	16.02818871
538.5	16.05455589
539	16.05018616
539.5	16.1522274
540	16.17254257
540.5	16.24987984
541	16.2796402
541.5	16.3481884
542	16.36335754
542.5	16.40683746
543	16.43488693
543.5	16.57588959
544	16.60660553
544.5	16.64656448
545	16.66631317
545.5	16.74916077
546	16.77064896
546.5	16.85215187
547	16.86699295
547.5	16.91414642
548	16.99269676
548.5	17.07996368
549	17.16901207
549.5	17.20824242
550	17.24569702
550.5	17.27653122
551	17.389431
551.5	17.46359253
552	17.50351715
552.5	17.58778763
553	17.6625824
553.5	17.69870377
554	17.80580521
554.5	17.84201622
555	17.95837593
555.5	17.95964813
556	17.99032784
556.5	18.16802406
557	18.17543602
557.5	18.26183891
558	18.37245178
558.5	18.45264626
559	18.47038841
559.5	18.60586357
560	18.64034462
560.5	18.81516457
561	18.787714
561.5	18.90180969
562	18.97842789
562.5	19.08778381
563	19.19747353
563.5	19.28272629
564	19.37136841
564.5	19.33182144
565	19.53245163
565.5	19.56759071
566	19.66123581
566.5	19.79389572
567	19.86406517
567.5	19.94303894
568	20.03719139
568.5	20.13226509
569	20.19162369
569.5	20.28157425
570	20.35014343
570.5	20.48845673
571	20.62861824
571.5	20.66862679
572	20.76491547
572.5	20.81534958
573	20.87088585
573.5	20.98823547
574	21.0634861
574.5	21.2227993
575	21.23449135
575.5	21.33066559
576	21.4976368
576.5	21.57165146
577	21.59636688
577.5	21.74009895
578	21.83675766
578.5	21.93612099
579	21.98531723
579.5	22.16982651
580	22.14911079
580.5	22.27672005
581	22.39670181
581.5	22.49052429
582	22.50398445
582.5	22.62911797
583	22.80568695
583.5	22.84592628
584	22.93200302
584.5	23.02942657
585	23.0716362
585.5	23.19312668
586	23.28629303
586.5	23.33481979
587	23.48208427
587.5	23.49785042
588	23.61175728
588.5	23.69060898
589	23.71990013
589.5	23.89375114
590	23.92139053
590.5	24.00183296
591	24.08206177
591.5	24.08507729
592	24.20546722
592.5	24.30794144
593	24.36289787
593.5	24.44879913
594	24.51398659
594.5	24.57417488
595	24.668993
595.5	24.76837921
596	24.79843903
596.5	24.88441086
597	24.92703819
597.5	25.02154922
598	25.0916214
598.5	25.18891716
599	25.18133163
599.5	25.32939529
600	25.35991287
600.5	25.4126339
601	25.47127533
601.5	25.51360703
602	25.64991379
602.5	25.68431282
603	25.76132965
603.5	25.7659874
604	25.91864395
604.5	25.97510529
605	25.98026657
605.5	26.0527935
606	26.10182762
606.5	26.20582008
607	26.24443245
607.5	26.28005409
608	26.29788589
608.5	26.41018105
609	26.41321754
609.5	26.520401
610	26.53404999
610.5	26.56694412
611	26.63484192
611.5	26.68605232
612	26.72479439
612.5	26.77202606
613	26.87395287
613.5	26.86375046
614	26.97550392
614.5	27.0280056
615	27.06464195
615.5	27.07539177
616	27.16625404
616.5	27.1808567
617	27.24783707
617.5	27.30459023
618	27.35521126
618.5	27.38142014
619	27.37887192
619.5	27.48860741
620	27.46613693
620.5	27.53471184
621	27.5746727
621.5	27.59456635
622	27.63627243
622.5	27.71112061
623	27.73402405
623.5	27.81690979
624	27.81227493
624.5	27.86103821
625	27.89738464
625.5	27.95980072
626	27.97512627
626.5	27.98616219
627	28.04177094
627.5	28.08597755
628	28.12712097
628.5	28.18297386
629	28.20799255
629.5	28.2800045
630	28.26700783
630.5	28.26647377
631	28.36564255
631.5	28.38260841
632	28.4422226
632.5	28.49781418
633	28.50300598
633.5	28.51911163
634	28.55366707
634.5	28.57241631
635	28.69582748
635.5	28.63894463
636	28.7226162
636.5	28.75832558
637	28.76004219
637.5	28.80818558
638	28.77588272
638.5	28.83983803
639	28.96354485
639.5	28.90442085
640	28.90460587
640.5	29.03252029
641	29.0282402
641.5	29.03651237
642	29.04101944
642.5	29.13147736
643	29.20684433
643.5	29.1559906
644	29.2083149
644.5	29.27015114
645	29.26717758
645.5	29.31296539
646	29.29317093
646.5	29.36550903
647	29.38362694
647.5	29.352808
648	29.47263718
648.5	29.45735168
649	29.55260849
649.5	29.56907654
650	29.60651779
650.5	29.57189751
651	29.64397049
651.5	29.64411736
652	29.74969482
652.5	29.73045731
653	29.8337307
653.5	29.78155899
654	29.83593369
654.5	29.91620255
655	29.8871727
655.5	29.95337486
656	29.95521736
656.5	29.95878792
657	30.01037216
657.5	30.03672981
658	30.08215141
658.5	30.0952816
659	30.14538002
659.5	30.18309784
660	30.19384384
660.5	30.29252625
661	30.27846527
661.5	30.29829788
662	30.31136703
662.5	30.38803864
663	30.42851448
663.5	30.44989967
664	30.43351555
664.5	30.52759743
665	30.59591675
665.5	30.56835747
666	30.67400742
666.5	30.62985611
667	30.60036278
667.5	30.69677353
668	30.7281456
668.5	30.72220421
669	30.75232506
669.5	30.81097603
670	30.83051109
670.5	30.88926315
671	30.94471931
671.5	30.85861588
672	30.94118881
672.5	31.00104904
673	31.02781105
673.5	31.04003906
674	31.13237953
674.5	31.15486145
675	31.1381855
675.5	31.20545387
676	31.22430229
676.5	31.29844666
677	31.31889915
677.5	31.2507782
678	31.38481903
678.5	31.44509125
679	31.41113853
679.5	31.43828583
680	31.50908089
680.5	31.49555397
681	31.54497528
681.5	31.54878616
682	31.59831429
682.5	31.63359451
683	31.67236137
683.5	31.70272636
684	31.72661972
684.5	31.76105309
685	31.85618782
685.5	31.76442719
686	31.92555237
686.5	31.89015007
687	32.00119019
687.5	31.89312172
688	31.98453712
688.5	32.0643692
689	32.10541153
689.5	32.10979843
690	32.18146896
690.5	32.1145134
691	32.14810562
691.5	32.23659515
692	32.29769135
692.5	32.22791672
693	32.27455139
693.5	32.23936844
694	32.40697861
694.5	32.33641434
695	32.41721725
695.5	32.37778473
696	32.4642601
696.5	32.53891754
697	32.50795746
697.5	32.60216522
698	32.60784531
698.5	32.56453323
699	32.58058548
699.5	32.68994904
700	32.63749695
700.5	32.71115875
701	32.77883148
701.5	32.8732605
702	32.82440186
702.5	32.81943512
703	32.87153244
703.5	32.91153717
704	33.03686142
704.5	32.92398834
705	32.98987961
705.5	33.06872559
706	33.12148285
706.5	33.12572479
707	33.06617355
707.5	33.17398071
708	33.20266724
708.5	33.19626999
709	33.22472382
709.5	33.3686142
710	33.32298279
710.5	33.33127594
711	33.30713272
711.5	33.34437561
712	33.39626312
712.5	33.48324203
713	33.52708054
713.5	33.41054916
714	33.53010559
714.5	33.46419144
715	33.64338303
715.5	33.47481918
716	33.67429733
716.5	33.62483215
717	33.62114716
717.5	33.67658615
718	33.65705872
718.5	33.81326294
719	33.72247314
719.5	33.75592041
720	33.75287247
720.5	33.84028625
721	33.93862915
721.5	33.94560242
722	33.88497162
722.5	33.89192581
723	33.95777893
723.5	33.95684814
724	33.9763031
724.5	34.07529068
725	34.16016769
725.5	34.11929703
726	34.09314346
726.5	34.09321594
727	34.12596893
727.5	34.23785019
728	34.16152191
728.5	34.24503326
729	34.27525711
729.5	34.29516983
730	34.34275818
730.5	34.34474945
731	34.19163132
731.5	34.24079895
732	34.34127426
732.5	34.34074402
733	34.379776
733.5	34.40006638
734	34.4754715
734.5	34.47676468
735	34.43783569
735.5	34.50904846
736	34.4831543
736.5	34.46596146
737	34.54010773
737.5	34.61601257
738	34.69453812
738.5	34.67583466
739	34.55236435
739.5	34.54759598
740	34.60631561
740.5	34.71834946
741	34.77516937
741.5	34.67363358
742	34.75125885
742.5	34.83013916
743	34.7644043
743.5	34.82337952
744	34.82683563
744.5	34.74985504
745	34.83703995
745.5	34.93567276
746	34.83628464
746.5	34.89685822
747	34.83750916
747.5	35.08086395
748	34.97559738
748.5	34.9738121
749	35.01497269
749.5	34.85669327
750	35.01859665
750.5	35.03879166
751	35.03037262
751.5	34.98760223
752	34.94023514
752.5	35.1150589
753	35.09534454
753.5	34.9575386
754	35.03430939
754.5	35.0614624
755	35.16312027
755.5	35.01773071
756	35.14784622
756.5	35.10594177
757	35.03834152
757.5	35.16637802
758	35.08708954
758.5	35.09454727
759	35.20359802
759.5	35.00856018
760	35.07669449
760.5	35.16252899
761	35.23838043
761.5	35.42869949
762	35.20098877
762.5	35.12948608
763	35.16073608
763.5	35.12900925
764	35.29471207
764.5	35.1941185
765	35.31723785
765.5	35.59354019
766	35.41866684
766.5	35.46743011
767	35.37998962
767.5	35.2770195
768	35.27528763
768.5	35.43286514
769	35.17410278
769.5	35.49557495
770	35.29829407
770.5	35.26941681
771	35.37313461
771.5	35.25379181
772	35.47963333
772.5	35.2632103
773	35.26529312
773.5	35.40257263
774	35.23973465
774.5	35.42333984
775	35.22887421
775.5	35.30458069
776	35.28606033
776.5	35.47316742
777	35.25279236
777.5	35.47061539
778	35.59215927
778.5	35.41058731
779	35.47690964
779.5	35.53127289
780	35.318367
780.5	35.2842598
781	35.39241028
781.5	35.53258896
782	35.46992874
782.5	35.17099762
783	35.34358597
783.5	35.37610626
784	35.36699677
784.5	35.40325165
785	35.49931717
785.5	35.31189728
786	35.36376572
786.5	35.35009003
787	35.44797897
787.5	35.51374054
788	35.46105957
788.5	35.56715393
789	35.30734634
789.5	35.52317429
790	35.2482338
790.5	35.64896393
791	35.2798233
791.5	35.19044113
792	35.32923889
792.5	35.21625519
793	35.33522034
793.5	35.52832794
794	35.39852524
794.5	35.3368721
795	35.26223373
795.5	35.45032501
796	35.48015976
796.5	35.17377853
797	35.37669754
797.5	35.49522018
798	35.40462494
798.5	35.21944046
799	35.29792023
799.5	35.36086655
800	34.1352005
800.5	37.85009766
801	34.62342072
801.5	36.1192627
802	34.0619545
802.5	34.13880157
803	35.81720352
803.5	34.36805344
804	35.9797821
804.5	36.79849625
805	34.166008
805.5	36.98115158
806	31.0942688
806.5	35.14984512
807	37.81784058
807.5	33.17373657
808	36.71702576
808.5	37.00967026
809	35.94601822
809.5	33.49900055
810	34.25046921
810.5	34.82680511
811	37.07538605
811.5	35.81789398
812	36.46627426
812.5	33.8799324
813	34.14723587
813.5	34.53547287
814	34.49416351
814.5	34.54444504
815	35.10710907
815.5	33.90337753
816	34.9814415
816.5	34.28836441
817	34.10503387
817.5	35.66028595
818	35.01336288
818.5	35.93867493
819	34.4067955
819.5	35.07801056
820	36.9062767
820.5	37.16152954
821	34.58245468
821.5	35.60492325
822	33.67422485
822.5	34.81842041
823	35.63522339
823.5	39.39328384
824	36.60538864
824.5	37.89492035
825	37.08572388
825.5	34.47540665
826	34.49862671
826.5	34.50784302
827	34.89294434
827.5	36.08230591
828	33.81322479
828.5	36.16748047
829	35.37987137
829.5	34.87928009
830	36.65844727
830.5	36.90767288
831	36.35853958
831.5	36.73301697
832	34.89446259
832.5	35.00169373
833	33.47335052
833.5	34.86700439
834	34.52155685
834.5	35.11149979
835	34.83108902
835.5	34.65957642
836	36.26171494
836.5	35.67115021
837	34.31306076
837.5	34.17403793
838	35.67383194
838.5	35.41514206
839	35.77423859
839.5	34.69446564
840	35.50150299
840.5	34.38249588
841	34.34610367
841.5	35.49451828
842	34.33746338
842.5	33.53245163
843	35.1196022
843.5	35.1859169
844	35.34498596
844.5	34.5744133
845	34.57325745
845.5	35.9943924
846	35.70298386
846.5	35.59267044
847	35.74884415
847.5	36.5684967
848	35.54289246
848.5	34.86822128
849	35.2369194
849.5	35.62644958
850	34.57484436
850.5	35.74889755
851	34.5643959
851.5	35.90647507
852	34.7531662
852.5	34.6453743
853	35.09180832
853.5	33.95703125
854	34.33221436
854.5	35.34990692
855	34.67261887
855.5	34.24681854
856	35.52781296
856.5	34.67370605
857	35.56699753
857.5	33.44002151
858	35.09745789
858.5	34.11439514
859	34.75432587
859.5	35.89998245
860	34.71324158
860.5	35.72732925
861	34.76703644
861.5	34.15007782
862	35.42869568
862.5	34.3042717
863	35.00870895
863.5	35.38331223
864	34.45408249
864.5	34.05830765
865	34.03889084
865.5	35.03276825
866	33.98960495
866.5	35.01109314
867	33.79431534
867.5	34.50710297
868	34.64945221
868.5	35.025177
869	34.81167984
869.5	33.77032089
870	36.01802444
870.5	33.80381012
871	35.50289536
871.5	35.00720978
872	34.57514191
872.5	35.24462509
873	34.67108917
873.5	34.3258934
874	34.80015182
874.5	34.85763931
875	34.98027802
875.5	34.80020905
876	35.16772461
876.5	34.95097351
877	34.22454071
877.5	34.54809952
878	34.60531998
878.5	35.03219223
879	34.49049759
879.5	34.28356171
880	34.55686569
880.5	35.23340225
881	34.92191315
881.5	34.93610001
882	35.30892944
882.5	34.52464676
883	34.99241638
883.5	34.11647034
884	34.45833969
884.5	34.43656158
885	35.06458282
885.5	34.32242203
886	34.75812912
886.5	34.70911789
887	35.32056808
887.5	34.69125366
888	34.5945549
888.5	35.19664001
889	34.9033699
889.5	35.08298874
890	34.48997879
890.5	34.50032043
891	35.38490677
891.5	35.1007309
892	34.59711838
892.5	34.6504631
893	34.4079895
893.5	34.52579498
894	35.07411575
894.5	34.88415909
895	34.42110443
895.5	35.14953995
896	34.72972107
